,id,tweet,subtask_a
69,84664,"@USER Ja, vi har brug for nogle mere sammensatte bullshit-demonstranter og antifa lol-tid til en episk beatdown😉",OFF
71,48995,"Bør ikke fisse, der griber @ @USER, være den, der bærer handskerne, mens du håndterer mad? #MAGA URL",OFF
72,47153,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa slår ikke faksister for at prøve at få dem til at ændre mening - de ved, det er en fortabt sag at prøve at ændre en fascists sind. De gør det for at skræmme dem til at gemme sig, for at demoralisere dem og for at stoppe spredningen af deres hadefulde ideologi. Der er ingen tvinger synspunkter på andre &quot;.&quot;",OFF
75,64429,@USER @USER @USER @USER @USER @USER @USER @USER @USER Det fungerer. Hvis du vil kontrollere en befolkning. Australsk pistolkontrol havde ingen indflydelse på drab.,OFF
84,45068,"@USER Kommer fra den mand, der truede med at prøve at sparke Turmps røv nu, tager det ikke et sæt kugler",OFF
87,84667,&amp; terroisme &amp; sult &amp; Flint &amp; fattigdom &amp; klimaændringer &amp; global opvarmning &amp; sexhandel &amp; mobning &amp; kropsskamning &amp; politiets brutalitet &amp; feminisme &amp; pistolkontrol &amp; marcher og protester,OFF
90,93119,#maga #christineford # trump2020 #tcot #ccot #AmericaFirst #Patriots @USER #BrettKavanaugh havde dette at sige om Bill Clinton under Whitewater: Det er bydende nødvendigt at gøre hans mønster af oprørende opførsel klar - stykke af smertefuldt stykke. &quot;Faktisk. URL,OFF
95,21379,@USER @USER @USER @USER @USER @USER Du skal tale om hadefulde konservative.,OFF
107,52252,@USER Alt hvad du behøver at vide er at han er tom indeni,OFF
108,91001,@USER De liberale er mentalt ustabile !!,OFF
112,66349,"@USER Det er endnu engang bevist, at alle våbenkontrollove er beregnet til at afvæbne de lovlydige borgere og undergrave # 2A. Kriminel * er ikke ligeglad med pistollove.",OFF
113,80561,"@USER @USER Mxm nigger synes, vi giver en fuck URL",OFF
121,39907,@USER @USER Spekulerer på hvor mange børn han malede,OFF
124,77294,@USER Ouch!,OFF
126,16940,"@USER Det er derfor, det er fantastisk, at Kavanaugh ikke rystede den pistolkontrol til fars hånd. Undskyld for barn blev dræbt af en pistol, men det er ikke de fremtidige dommeres skyld, at det skete ...... omg hvide mennesker i byer er fjollet",OFF
130,28841,"@USER @USER Da jeg vendte talen om, lød det for mig, som Venstre blev et andet grimt parti &quot;med hans personlige angreb på forskellige individer.&quot;",OFF
135,59998,"@USER @USER @USER @USER Interessant, når Demoncraps ikke engang er opfindelige til at oprette deres egne tegneserier. Dette er oprindeligt udtrykt af republikanere - liberale er Koolaide-drikkerne og har altid været det. Liberale er også afskum af jorden og beviser det dagligt gennem deres løgne",OFF
137,28812,"@USER @USER @USER @USER Han er død. Så du er også en nekrofililiac? Godt at vide ... du skal sutte til skak og huske ikke 3-dimensionel skak ... du kan ikke engang tænke et skridt fremad, for ikke at sige mange ... Skift dit twitterhåndtag til DumbAF, ikke engang ish🙄🙄🙄",OFF
141,64776,@USER #oshaeterry #ThugLife # Criminal Opført som en almindelig engangskriminalitet. #MAGA # MAGA2020 #MAGARally Regler #TexasPolice,OFF
143,69972,@USER Helvede boykottede de McEnroe ..... dette er for meget !!,OFF
147,96789,"@USER Jeg tror, hun er den gale. Hun kunne ikke lide at blive kaldt, så hun prøver at få dem til at mobbe mig. 😆",OFF
148,68629,"@USER @USER @USER så hun er modbydelig for dig, fordi hun er en Rangers-fan! du er modbydelig for mig, fordi du støtter at nedbryde unionen! #proudtobeBritish 🇬🇧",OFF
153,77319,"@USER Hubby forhastede mig * ryster knytnæve * vil flick et billede igennem denne aften, når jeg foder dem igen. I øvrigt er han stadig chef",OFF
161,49504,@USER @USER @USER Hun er absolut ubrugelig. Alle ved det bortset fra hende og medierne.,OFF
163,31229,@USER @USER IKKE ET SNOWBALLS-KANS I HELL DIMWIT DEM. Begynd på at miste som en mand ..... fejle ... som en .... uhm? Uanset hvad du identificerer som i dag. VI VIL #MAGA IKKE trætte af # vinde se dig i NOVEMBER FOR # REDWAVERISING2018 DU KAN IKKE STOP #ScotusKavenaugh,OFF
165,88546,@USER @USER Mine stenede hvedeknækkere! Hvor i helvede lagde de Stoned Wheat Crackers?,OFF
170,32897,@USER Ligesom hvis du ikke fik fyret fra ESPN,OFF
171,62072,"@USER de studerende, der ikke er traumatiseret af at have live shooter-øvelser eller blive distraherede af frygt for at blive dræbt i skolen, gør allerede deres bedste. Send DIT barn til en af disse skoler, så kan vi muligvis få noget at gøre med pistolkontrol. Hykler.",OFF
172,95444,@USER @USER Fattige triste liberale. Intet håb for dem.,OFF
174,62481,"@USER CBS sez administrerende direktør Leslie Moonves &#39;ud på hans røv efter flere beskyldninger om, at han jagede røv ... COO Joseph Iannello vil være midlertidig administrerende direktør, indtil nogen beskylder ham for den samme ting ... Denne&#39; lort &#39;slutter aldrig ... Oops ...",OFF
177,39021,"@USER Det er hun. Ur skruet. Trump ejer scotus, og han vil udråbe en vrede over fjender efter mellemstopperne",OFF
178,68840,@USER HAUL DIN FED ASS I HARMS MÅDE DU DRUGGIE !!!,OFF
186,32916,"@USER @USER @USER Demokraterne er så desperate, at alle de ppl truende Sen Collins er fra CA. De vil gøre alt for at forsinke eller stoppe bekræftelsen, og @USER genvalg er på den linje, hun er desperat. Ppl &amp; GOP er helt klar over, hvad der foregår.",OFF
190,18547,@USER Så bliver du bidt,OFF
193,82607,"@USER Det ser ud til at være parret med et WOO-HOO, så han må tro, at han er på vej til et bordel.",OFF
194,82339,@USER @USER @USER Hun er mentalt ustabil.,OFF
197,34510,@USER @USER @USER @USER @USER FEMA har kontaktet senatoren og blev fortalt. trusser og fortæl sandheden! &quot;,OFF
198,53501,"@USER Men jeg troede, Antifa var faktisk fascister, men dette viser, at Rethuglicans er de faktiske fascister i rummet.",OFF
199,69928,"@USER @USER @USER @USER @USER @USER @USER @USER @USER Så absurd. Venstre har felt voldelige feminister og kommunister i form af Antifa for at angribe den meget fredelige magtovergang i mere end to år. Jeg spekulerer på, om det nogensinde vil opstå for dig, at du er de slemme fyre? Jeg tvivler på, at du har den moralske styrke.",OFF
200,31853,Nogen overrasket? @USER #CloserNation #MAGA #QAnon URL,OFF
201,13872,@USER Ikke hvis du er fra Wisconsin. Og det er en bobler. Og andand gås.,OFF
205,28985,"@USER @USER @USER Siger du, at han er en kalkunchocker 😶",OFF
207,74004,@USER @USER Hun er bedre end al denne lort. Hun er bedre end noget andet. ❤️,OFF
208,70838,"@USER forbandet, hvad jeg ville gøre for at kunne spise den fisse",OFF
215,15991,"@USER Hvis Jamie Oliver knepper med mine 3 måltider på £ 3 hos Tesco, dræber jeg kusse",OFF
219,38837,"@USER @USER Nå, han er en liberal, så det forklarer det. Hvem kender skyderen kan være en liberal så vidt han ved. Venstre er meget hadefulde voldelige mennesker og skal besejres!",OFF
224,16885,@USER Lad mig låne yo shit først 🤣,OFF
231,19514,@USER @USER Han er både ond og villig. Han spiser disse høj kvalitet malingschips.,OFF
234,34317,"@USER @USER Hun får en total mental sammenbrud, når han bliver genvalgt !!!!",OFF
236,36289,"@USER Så ... Tilsluttede Angela sig en yngre fyr, så hun har nogen til at tørre hendes røv, når hun er 75?",OFF
237,80570,"@USER Godt !!! Dette vil helt sikkert vise os, hvor skæv han er. 😂😂😂",OFF
239,86477,@USER venter stadig på mine fedt,OFF
242,44015,"@USER @USER @USER @USER Åh boo du lyder så uvidende med dine ord. Vi er på toppen. Hele Amerika er på toppen nu. Hvad med at stoppe med at modstå og prøve at hjælpe med at gøre vores nation bedst for alle, ikke bare liberale. Vågn op og gå væk.",OFF
245,11411,@USER @USER Lefty Pope burde også! Han er ikke værdig repræsentant for sande kristne romerske katolikker !! Han svigtede sin hjord!,OFF
246,10133,"@USER Og ærligt er det latterligt .. du købmand, der er ikke nødvendigt at være sådan",OFF
252,29497,"@USER @USER @USER @USER @USER Dette håndsignal bruges af uvidende mennesker som et signal om hvid overherredømme og af onde mennesker, der får en masse tilfredshed i ideen om at forpaste liberale. Vi skal ignorere begge, fordi udstillinger af uvidenhed og hadefuldhed ikke fortjener vores tid og opmærksomhed.",OFF
257,97300,"@USER Bare ét bevis mere på, at dnc hader kosnstitutionen. det er præcis, hvad præs. Washington advarede os om i hans farwell-adresse. DNK hader forfatningen, fordi den står i vejen for deres totalitarinske dagsorden. måske fordi jeg skubber på både socialisme og pistolkontrol",OFF
264,14808,"@USER Tak, fru Desanctis! Jeg er trøstet over, at ikke alle konservative holder deres ambition blind for deres samvittighed. Seksuel overfald / chikane har været en pest i samfundet i århundreder - det burde IKKE gøre det til en konservativ eller traditionel sag!",OFF
268,33322,"@USER Tilsyneladende ved dette POS ikke, at Viacom købte BET. Det gik fra sort ejerskab til hvidt ejerskab🤣🤣🤣🤣🤣🤣",OFF
275,87300,"@USER @USER @USER @USER Er det ikke godt, hvordan liberale ignorerer smerte fra deres ofre, fordi de er demokrater. Det er virkelig sygt.",OFF
280,80497,"@USER @USER Liberale handler ud af følelser. Ikke forstå loven. Derefter går de rundt og fordømmer alle, der ikke er enige i deres fuldstændigt kneppet rationel. ”Ingen troede kvinder i 250 år. Så lad os tro alle kvinder! Åh og skru det juridiske system! Mænd er svin. Han er skyldig! ” SMH",OFF
285,97277,"Alt for dårligt liv suger 4 u # schiff4brains - du går ned sammen med andre kriminelle venner. Kun den røde linje, der krydses, er LIES U TELL. U vil aldrig b mere end maven på en SNAKE #MAGA # TRUMP2020 # schiff4brains URL",OFF
290,95200,@USER ALT er et problem med muslimer .. skal bo i et andet land som Iran ..,OFF
291,77769,"@USER @USER @USER @USER @USER Jeg indrømmede ikke noget! Læs min Tweet igen tak! Engelsk er mit 3. sprog, men jeg er ret god til det! Antifa er nazisterne! De kan navngive dem selv som Messias, de ville stadig være bølger, der kæmper mod frihed og fri tale. BTW-fri tale er ikke hadesprog. Mand op!",OFF
296,62107,@USER @USER Så kan vi måske tale om dobbeltstandarder mellem liberale og konservative på @USER Enhver er altid et offer.,OFF
298,33096,"Rosensteins 300 advokater &#39;hjulpet&#39; Vet Kavanaugh - Nu opkræver seksuelt misbrug URL-adresse, der går tilbage til hans gymnasiedage og ikke kan bevises og navngives vidne DENIES #Pathetic #ConfirmKavanaugh #PJNET #CCOT #maga # KAG2018 # Trump2020 #NoMoreProgressiveLiberals",OFF
300,81470,@USER Fuck u,OFF
301,20322,@USER Niggaz køber fisse tæver forsøger at købe kærlighed ...,OFF
303,60130,@USER Lider ikke dårer og har set nok lort til at vare ni liv.,OFF
304,54559,"@USER GOP, konservative, evangelister, traditionister &quot;Katolikker er alle hyklere.&quot;",OFF
306,14285,"@USER @USER @USER Nå, de vil udskære 299 sider og erstatte det med 1, der siger, at alle har brug for mere klor &quot;Kan du kylling?&quot;",OFF
314,42133,"#Manitoba - #NDP-leder Wab Kinew på #carbontax URL Er du stolt af jer selv @USER og @USER Du tillader, at NDP kommer til dig fra højre? I er alle lige så sindssyge som #Trudeau #Liberals #Winnipeg #Canada #MBpoli",OFF
315,18834,"@USER HAHAHAHAHAHAHAHA !!! Det kan være nødvendigt at hun ændrer sin strategi. At optræde som et forkælet barn ... kaste et raseri og vise verden, hvad en ond taber hun er ... på nationalt tv ... er ikke en fantastisk måde at forbedre, hvordan nogen &quot;ses&quot;.",OFF
320,38043,"@USER Begge sider har lovet væg SINCE nogensinde og skulle nogen tro noget, de siger ????? lovet siden 1986",OFF
322,76709,@USER @USER Hun er sådan en modbydelig hykler!,OFF
323,22728,"@USER @USER Dette vil også give dig mulighed for stadig at protestere. Men ikke stop en taler eller en gruppe. Virkelig gjorde Hitler dette i den tidlige tid af det nazistiske parti, en gruppe kendt som SS ville slå politikere og folk, der ikke var enige med dem. (Lyder velkendte lugte som Antifa.)",OFF
325,11640,"@USER @USER #nope ... Med Mm ingen måde ... måske er det tid til at spørge Sky hvad der er gået galt? Fordi #Foster fra CNN har bogen først, end KP tweetede om bogen ... Liberale ... Fra Trump for amerikanere til Mm for britiske ... Jeg vidste ikke, hvem der er værst",OFF
326,47009,"@USER hvordan relaterer det jeg siger til pistolkontrol. hvis politiafdelinger ikke vil retsforfølge deres egen familie &quot;så er det tid til at begrænse deres adgang til alle våben. En politiafdeling, der er uvillig til at anerkende deres egne forkerte handlinger og rette dem, fortjener ikke adgang til våben.&quot;",OFF
328,97936,"@USER alt hvad du vil have er pistolkontrol, mens du lader virksomheder rive os amerikanere, du står ikke op imod politiet myrder ubevæpnede sorte amerikanere politifolk er fjender af amerikanere, det er derfor deres mod @USER, fordi de vil dræbe sorte i Amerika tak @USER",OFF
329,12531,En tæve klager overfor virksomheden om mig i vores lobby lmaooo,OFF
337,72024,@USER @USER Venstre har ingen skam. For dem retfærdiggør resultatet middelværdien,OFF
341,98547,"@USER Jeg formoder, at du synes, den måde, som liberalerne angreb Sarah Palin, også var modig. Du er bare endnu en hykler.",OFF
342,98382,@USER @USER Alle store amerikanske patrioter er samfundets bagværk i Joe Blow Bidens snevede og vildfarne perspektiv. Han er en skam for Amerika.,OFF
346,71577,"-____- Intet andet land i 1. verden har bullshit som dette, fordi de ikke har BULLSHIT-problemer som dette Fuck gun-branchen, og knepper dipshitsene, så de forhindrer fornuftig pistolkontrol-URL",OFF
349,17391,"@USER modbydeligt! Det fortæller dig mere end noget andet, at vi har brug for lov og orden, og det er konservative n Kavanaugh!",OFF
350,34443,"-Du vil aldrig gætte på, at denne medarbejder spiller Covet (et modespil) på sin iPad i hendes fritid. 📱 -Hun har en mærkelig fobi af hunde. -Hun er utroligt underlig! Hun kan hoppe over sin fod, mens den er i ... URL",OFF
362,22185,"@USER @USER F Håb! Da han &#39;IKKE er smartere end en 5. klassing&#39;, er hun måske!",OFF
370,77089,@USER @USER @USER Ikke hvis det er uønsket af moderen. Så skyller venstre det ned på toilettet og går til en ANTIFA-rally for at fejre.,OFF
372,79972,@USER @USER @USER Komplet og fuldstændig spild af tid. Liberale,OFF
374,30085,@USER @USER Den nigga snik og tilføjede krydderi oven på hans snik,OFF
375,95773,@USER @USER Yderst til højre. De er bogstaveligt talt overalt. Heldigvis har vi langt venstre ekstremister som Antifa og Jeremy Corbyns tilhængere til at fungere som en modbalance. URL,OFF
377,51053,@USER En idiot. Hvor fanden får de disse mennesker?,OFF
381,14131,@USER Fugle røv URL,OFF
383,33709,@USER @USER Mange arrestationer har fundet sted. Socialistiske medier dækker ikke selvfølgelig. De kommende arrestationer får socialister til at eksplodere. WWG1WGA! MAGA! DRIN SWAMPEN! BYGG VEGGEN!,OFF
385,53995,"@USER Hellige lort af alle mennesker at sige, at en Nebraska fan. Tag dit døde program et andet sted, og hold din videobåndoptager rundt for at se højdepunkter fra 90&#39;erne.",OFF
389,82171,"@USER Så du er klar over, hvad det fjols, du laver af dig selv, med din underlige besættelse over #SusanSarandon Måske skal du lave noget research b4, der sprøjter vrøvl ud.",OFF
391,50936,"@USER og @USER @USER @USER opfordrer VOLENCE over for Trump-tilhængere på lister, der skal målrettes af ANTIFA.",OFF
392,97580,"@USER @USER Er der ingen bitter her. Kvinder, der ved, at de er værd at bruge deres liv på at opgradere &quot;nogen søn, men som faktisk lever det og bliver deres bedste versioner for dem selv. Du ser søde ud på dit pigeudstyr, som du altid gør&quot;",OFF
394,54991,"@USER @USER Hun er beskyttet mod vidner. Jeg ville ønske, at denne ko havde en mobiltelefon, så hun kunne ringe til andre køer og dele sin flugt. #GoVegan",OFF
395,55051,@USER har brug for flere damer til at sprede deres fisse på cam 😍,OFF
397,23159,@USER Hvordan han stadig batting,OFF
398,58548,@USER ANTIFA-DEMOKRATER betaler så STOR i november bliver det den sidste negle i kisten. Du er FruitCake Trust-finansieret FakeNews-journalistik.,OFF
399,41277,"@USER GODT BITCH !!! Hætten savnede dig 😂 skør ting er, jeg sagde bare, hvordan de ryger ud af dit hus, der plejede at blive tændt hver dag",OFF
400,51592,@USER BITCH JEG BORTE UDSENDT OM KDKSKSKS JEG HÅPER DU FÅ BEDRE HURTIG,OFF
402,56068,"@USER @USER @USER Jeg ved, hvem hun er, men jeg har aldrig set hende se et Benfica-spil, dette bringer lort til et nyt niveau",OFF
404,88585,@USER LIBERALS; Det er Trumps Fejl. 🤔,OFF
405,14234,@USER @USER @USER Efter at hun ikke kun er en tacozt-bit som en sociopat og en idiot alle dødelige kombinationer,OFF
408,97329,@USER Godt demokrati er overvurderet. Læs Hans Hermann Hoppe - Democracy: The God that Failed,OFF
409,85409,"@USER Se ... det er ikke pistolkontrol, vi har brug for. Det er venstreorienterede liberale kontrol. Våben dræber ikke mennesker. Idiotiske umoralsk venstreorienterede gør. #LiberalismeIsaMentalDisorder # DemsAreDangerous #WalkAway",OFF
412,14118,@USER lever op til hans kaldenavn i aften! Fandt mareridt. # UFC228,OFF
414,63792,"@USER Jeg tror, andre lande følger MAGA 😀 Folk er syge af at blive overskredet &amp; skal derefter betale for det hele!",OFF
416,82293,"@USER Hahahahahaha ...... Sagde idioten @USER, der overleverede milliarder til iranerne i hvad der sandsynligvis var den dårligste aftale i historien om amerikansk udenrigspolitik .... Du er plakatbarnet for en person, der ikke er kvalificeret til at gøre et arbejde&quot;....&quot;",OFF
424,61533,"@USER Løgnene, jeg hører hver dag sukk * INDÅNDINGER * Jeg er træt af dig, hvor du sætter dig selv nede, og hvis PPL ikke ser, hvor smukt min bedste ven er så deres problem Du er smuk, jeg har set det, så det er mit sted at fortælle dig, at du er smuk og jeg accepterer intet mindre. Hvis ikke mere 😤",OFF
427,40857,@USER @USER @USER Jeg lærer mine voksne sønner theres vindere og tabere ... se Serena temperament raserier hun er en demokrat ... lol,OFF
429,23228,@USER @USER @USER Stop venligst! Du gør det FOR LETT for højreorienterede konservater at spotte dem os til venstre! #NotHelping,OFF
432,78473,#obama: væggen holder ikke terrorister væk. Samme Obama: pistolkontrol vil forhindre drab af kriminelle (og terrorister?) #WalkAway,OFF
433,30890,@USER republikanere / konservative er de mest modbydelige mennesker,OFF
434,92935,"@USER @USER Jo mere Antifa BS gennemsnitlige amerikanere ser i nyhederne, jo mere frastødte er de af deres antics.",OFF
436,86626,"&gt; 500 kommentarer og alt negativt, smækker Chris Hayes for at fremme stemmeundertrykkelse via Michael. Jeg elsker voldtektsmanden &amp; Putin-dukken Assange &quot;Moore &amp; hans seneste&quot; kill the Dems &quot;-film. Hvad med et rådhus om kvinders repro-rettigheder og pistolkontrol på før Kavanaugh stemmer i stedet? URL",OFF
438,18702,"@USER Åh fuck dette er mig. Jeg er en dronning på nogle ting, fordi den styrer samtalen subtilt, men gud hjælper dig, hvis du kommenterer mine vaner eller beslutninger, jeg sværger for gud",OFF
440,27045,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Dint betalte enhver opmærksomhed mod hende ... hun har endnu ikke sagt noget af interesse ... meme jerk.,OFF
442,78567,@USER Alt hvad du gør er at lyve. Al kongres lyver os. MAGA.,OFF
446,80107,"@USER Lol gjorde du bare trumf meget fine mennesker på begge sider? Antifa slår nazister. Vil du ikke blive stanset? Vær ikke nazister, oh whaooaaaaa så skør. OTOH-nazister myrder bogstaveligt talt folk og prøver at bombe lort sååååååå. Du er bare en højre fløjle. Beklager, det er tilfældet.",OFF
449,84294,"@USER Jeg oplever det samme problem. Jeg kan godt lide at tro, at jeg lider af en pernickety bastardforstyrrelse.",OFF
451,53037,@USER FUCKOFF DU BLE KNEW IM RÆDET FOR ham @,OFF
453,10605,"@USER @USER @USER Nej. Lærer dem ikke at give noget lort, hvad liberale fra CA synes.",OFF
462,93419,"@USER i den falske nationale nødsituation, der blev oprettet af konservative for deres nwo bullshit",OFF
463,93280,"@USER @USER Vi har brug for en marihuana-lobby, der kan bestikke GOP, ligesom store pharma gør. Ellers er du skruet fast. Bare fordi det er godt for Amerika, betyder det intet ... se pistolkontrol &quot;&quot;",OFF
464,97831,@USER @USER Min favorit del af dette er at se alle de konservative miste sindet som sædvanligt. Endnu en gang bliver demokraterne værende mod os boo-hoo. LOL.,OFF
465,82366,"@USER Ingen er åben! Du tror, han sidder der og venter på at blive ramt af lol. Det valg, der blev kaldt tilbage Kyle sagde, at modtageren kørte den forkerte rute igen! En rute, der var nødvendigt for at vælge Matt åben! 🤦🏽‍♂️ 49ere har brug for at få hovedet ud af deres æsler",OFF
467,70315,"@USER @USER Jeg så det, men jeg tror ikke, det er en tatovering. Det ser ud som den fuckin mode stof streng eller noget lort. Idk. Måske ikke mig, men den røv ligner nøjagtigt hendes ha",OFF
470,83457,@USER-dommer Roy Moore vil mestre denne historie. #MAGA,OFF
471,14877,@USER 100% han er Messi for målvagt GOAT,OFF
472,63762,@USER Han burde også! Disse mennesker er SAMFUNDETS DREJER - IKKE PRÆSIDENTENS STØTTERE! I det mindste forsøgte vi ikke at placere et statskup! #QAnons #Great AwakeningWorldwide #JoeBiden #MAGA,OFF
475,78739,@USER @USER Samme rotte som sagde antifa var en sort organisation,OFF
479,33095,@USER Cali har allerede nogle af de mest strenge lovkontrollover i amtet. Og du kan ikke bebrejde dette på Indiana.,OFF
480,50390,"@USER @USER @USER Ingen vil dræbe eller slå hende! Billig tektik til at blive populær LGBT Tikoo. Hun kan også følge SUNNY LEONE: hun er ikke kun populær i Indien, men verden😴 Held og lykke og ser begge ur-videoer sammen: Sri Krisna vil bestemt gøre din næste video populær. Ha det sjovt🙏",OFF
483,38444,"@USER kunne finansiere en hel skole inkl. Lærernes løn og har derefter undervist i sit eget pensum. Indoktrinerende generationer af ungdom, men han finder det passende ... min gasbeholder på E rn",OFF
485,77647,@USER Kan vi alle være enige om at bede om en stor dum mike til at køle over af et hjerteanfald. han ser moden ud.,OFF
486,30426,"@USER @USER Hillary? Hvorfor er hun med i studietilstanden for sociale studier? Hvorfor? Hvem skal hun være i et læseplan? Hun er intet! Jeg er chokeret over, at hun var i en læseplan, men jeg er meget glad for at se, at hun er ude! ”(Jeg er så glad for, at hun ikke er i nærheden af @USER",OFF
491,38806,"Min gæt er 44 fik det fra disse 100&#39;erne af $ bil penge, han stjal fra #fanniemae, der sad fra balance som en slush-fond i @USER se #fannieGate. URL #TorsdagTanker #Releasethetexts #NoRedaction #Obamagate #ObamaKnew #DrainTheDeepState @USER #MAGA URL",OFF
496,66497,"En anden fucking Pittsburgh nazist. Philly Antifa navngiver navne, og det er herligt. URL",OFF
498,95987,"@USER Han ville shat sine bukser, hvis han stod over for nogen Antifa",OFF
501,36795,"@USER Jeg kan huske, hvor meget vi grinede med de konservative i 90&#39;erne for at tænke, at dukker var homoseksuelle ... Nu er folk oprørte, fordi de ikke er homoseksuelle ... PBS har brug for en dokumentar, der lærer folk, hvordan dukker er lavet ...",OFF
506,21223,@USER #Conservatives #Republicans er #TRAITORS til #America,OFF
510,25469,"@USER @USER @USER @USER bruger rehabilitering som et sted at flygte, når hun har problemer. Hun fortæller vittigheder om sin situation. Hun skulle være i fængsel for at have angrebet en politibetjent og truet med at dræbe ham. Hun er klasseløs. Hun skulle tage af sted med kedelige Carole.",OFF
511,74815,"@USER Tror du, at hun er bange for svin, der ikke har samme farve som hende? 😊",OFF
514,67895,". @ USER satser @USER hævder, at SAFE Act er nationens hårdeste pistolkontrollov for det meste falsk. &quot;URL",OFF
515,99912,@USER Du er en røvhul!,OFF
516,69106,"@USER Fyren er ikke engang en hvid rumænsk, han er en sigøjner!",OFF
517,47490,"@USER Ikke bedre eller værre end din elskede brat Antifa, der basrer folks hoved i. Elsker at se krusskuddene. De ligner meth hoveder.",OFF
521,77519,@USER Så meget røv tho,OFF
523,20232,@USER Bernie op til sin 🤥. Du fortæller ikke HELE sandheden. #WalkAwayFromDemocratsNow,OFF
529,32990,@USER Har den ene med den anden? # Sex #Krig Se Penthouse-magasinet i 1980&#39;erne. Sex efterfulgt af kanoner.,OFF
532,64626,@USER Ja .. shit bare bevæge dig med vinden 😂😂😂😂😂😂hun bare fortsat velsigne os 😩😩😩😩❤️🤷🏼‍♂️🤦‍♀️,OFF
546,39729,@USER @USER Han er crap tho,OFF
551,46114,@USER En sort kogeplade,OFF
554,93056,"@USER @USER Twitter vil forbyde meget mere konservative eller enhver, der taler om Dems eller Venstre. Tættere på valget",OFF
557,32139,"@USER @USER @USER @USER @USER Bortset fra &#39;forbrugere&#39; (mennesker) vil ikke, at NHS skal privatiseres; de vil have det i offentlige hænder, fordi det er en vigtig offentlig tjeneste og ikke et kapitalistisk marked. Tror du, at alle i dette land er dumme?",OFF
558,59690,@USER Denne lort holder mig i krybben lol fuck det,OFF
562,23311,@USER @USER Venstre gør America Sicker,OFF
566,33600,"@USER jeg ved, at han siger hvad hans far siger mest ... Start mig ikke baby &quot;😂😂😂&quot;",OFF
567,79122,"@USER @USER Demokrater bryder sig kun om denne crap, når det fremmer deres mission: At ødelægge konservative.",OFF
570,58576,@USER Det er skønt underligt! lol,OFF
573,70525,"@USER Nej, og de er dyre røv helvede",OFF
